"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor"
20,19,2.50,0.10,0.70,0.30,5.73,46.61,1.05,2.71,0.95,3.16,0.10,-0.45,9.19
11,20,2.50,0.10,0.70,0.30,1.61,59.55,0.55,2.72,1.81,2.89,0.02,-0.16,4.92
12,20,2.50,0.10,0.70,0.30,2.05,58.52,0.60,2.72,1.66,2.94,0.03,-0.21,6.21
13,20,2.50,0.10,0.70,0.30,2.50,57.50,0.65,2.72,1.53,2.98,0.04,-0.25,7.15
14,20,2.50,0.10,0.70,0.30,2.94,56.47,0.70,2.72,1.42,3.01,0.04,-0.28,7.76
15,20,2.50,0.10,0.70,0.30,3.38,55.44,0.75,2.72,1.33,3.04,0.05,-0.32,8.32
16,20,2.50,0.10,0.70,0.30,3.82,54.41,0.80,2.72,1.25,3.07,0.06,-0.34,8.85
17,20,2.50,0.10,0.70,0.30,4.26,53.38,0.85,2.72,1.17,3.10,0.07,-0.37,9.33
18,20,2.50,0.10,0.70,0.30,4.70,52.35,0.90,2.72,1.11,3.12,0.08,-0.39,9.53
19,20,2.50,0.10,0.70,0.30,5.14,51.32,0.95,2.72,1.05,3.14,0.09,-0.41,9.69
20,20,2.50,0.10,0.70,0.30,5.58,50.29,1.00,2.72,1.00,3.16,0.09,-0.43,9.83
11,11,3.00,0.10,0.70,0.30,2.40,27.71,1.00,2.53,1.00,3.30,0.07,-0.76,9.74
12,11,3.00,0.10,0.70,0.30,2.77,26.86,1.09,2.53,0.91,3.36,0.09,-0.82,9.99
13,11,3.00,0.10,0.70,0.30,3.13,26.02,1.18,2.53,0.84,3.42,0.10,-0.88,10.18
14,11,3.00,0.10,0.70,0.30,3.49,25.18,1.27,2.53,0.78,3.47,0.12,-0.93,10.19
15,11,3.00,0.10,0.70,0.30,3.85,24.33,1.36,2.53,0.73,3.51,0.13,-0.97,10.03
16,11,3.00,0.10,0.70,0.30,4.21,23.49,1.45,2.53,0.68,3.55,0.15,-1.01,9.83
17,11,3.00,0.10,0.70,0.30,4.57,22.65,1.54,2.53,0.64,3.59,0.16,-1.05,9.58
18,11,3.00,0.10,0.70,0.30,4.93,21.80,1.63,2.53,0.61,3.62,0.18,-1.08,9.19
19,11,3.00,0.10,0.70,0.30,5.30,20.96,1.72,2.53,0.57,3.65,0.20,-1.11,8.76
20,11,3.00,0.10,0.70,0.30,5.66,20.12,1.81,2.53,0.55,3.68,0.21,-1.14,8.31
11,12,3.00,0.10,0.70,0.30,2.28,31.32,0.91,2.57,1.09,3.30,0.06,-0.72,10.59
12,12,3.00,0.10,0.70,0.30,2.65,30.48,1.00,2.57,1.00,3.36,0.07,-0.79,10.99
13,12,3.00,0.10,0.70,0.30,3.01,29.63,1.08,2.57,0.92,3.42,0.09,-0.84,11.31
14,12,3.00,0.10,0.70,0.30,3.37,28.79,1.16,2.57,0.85,3.47,0.10,-0.89,11.43
15,12,3.00,0.10,0.70,0.30,3.73,27.95,1.25,2.57,0.80,3.51,0.11,-0.94,11.38
16,12,3.00,0.10,0.70,0.30,4.09,27.10,1.33,2.57,0.75,3.55,0.13,-0.98,11.27
17,12,3.00,0.10,0.70,0.30,4.45,26.26,1.41,2.57,0.70,3.59,0.14,-1.02,11.12
18,12,3.00,0.10,0.70,0.30,4.81,25.42,1.50,2.57,0.66,3.62,0.15,-1.05,10.82
19,12,3.00,0.10,0.70,0.30,5.18,24.57,1.58,2.57,0.63,3.65,0.17,-1.08,10.47
20,12,3.00,0.10,0.70,0.30,5.54,23.73,1.66,2.57,0.60,3.68,0.18,-1.10,10.09
11,13,3.00,0.10,0.70,0.30,2.16,34.93,0.84,2.60,1.18,3.30,0.05,-0.70,11.46
12,13,3.00,0.10,0.70,0.30,2.53,34.09,0.92,2.60,1.08,3.36,0.06,-0.76,11.99
13,13,3.00,0.10,0.70,0.30,2.89,33.25,1.00,2.60,1.00,3.42,0.07,-0.82,12.44
14,13,3.00,0.10,0.70,0.30,3.25,32.40,1.07,2.60,0.92,3.47,0.09,-0.87,12.68
15,13,3.00,0.10,0.70,0.30,3.61,31.56,1.15,2.60,0.86,3.51,0.10,-0.91,12.71
16,13,3.00,0.10,0.70,0.30,3.97,30.72,1.23,2.60,0.81,3.55,0.11,-0.95,12.70
17,13,3.00,0.10,0.70,0.30,4.33,29.87,1.30,2.60,0.76,3.59,0.12,-0.99,12.64
18,13,3.00,0.10,0.70,0.30,4.69,29.03,1.38,2.60,0.72,3.62,0.13,-1.02,12.41
19,13,3.00,0.10,0.70,0.30,5.06,28.19,1.46,2.60,0.68,3.65,0.15,-1.05,12.14
20,13,3.00,0.10,0.70,0.30,5.42,27.34,1.53,2.60,0.65,3.68,0.16,-1.08,11.83
11,14,3.00,0.10,0.70,0.30,2.04,38.55,0.78,2.62,1.27,3.30,0.05,-0.67,12.41
12,14,3.00,0.10,0.70,0.30,2.40,37.71,0.85,2.62,1.16,3.36,0.05,-0.73,13.06
13,14,3.00,0.10,0.70,0.30,2.77,36.86,0.92,2.62,1.07,3.42,0.06,-0.79,13.63
14,14,3.00,0.10,0.70,0.30,3.13,36.02,1.00,2.62,1.00,3.47,0.07,-0.84,13.97
15,14,3.00,0.10,0.70,0.30,3.49,35.18,1.07,2.62,0.93,3.51,0.09,-0.89,14.10
16,14,3.00,0.10,0.70,0.30,3.85,34.33,1.14,2.62,0.87,3.55,0.10,-0.93,14.17
17,14,3.00,0.10,0.70,0.30,4.21,33.49,1.21,2.62,0.82,3.59,0.11,-0.96,14.20
18,14,3.00,0.10,0.70,0.30,4.57,32.65,1.28,2.62,0.77,3.62,0.12,-0.99,14.04
19,14,3.00,0.10,0.70,0.30,4.93,31.80,1.35,2.62,0.73,3.65,0.13,-1.02,13.83
20,14,3.00,0.10,0.70,0.30,5.30,30.96,1.42,2.62,0.70,3.68,0.14,-1.05,13.59
11,15,3.00,0.10,0.70,0.30,1.92,42.16,0.73,2.64,1.36,3.30,0.04,-0.65,13.27
12,15,3.00,0.10,0.70,0.30,2.28,41.32,0.80,2.64,1.25,3.36,0.05,-0.71,14.05
13,15,3.00,0.10,0.70,0.30,2.65,40.48,0.86,2.64,1.15,3.42,0.06,-0.77,14.75
14,15,3.00,0.10,0.70,0.30,3.01,39.63,0.93,2.64,1.07,3.47,0.07,-0.82,15.19
15,15,3.00,0.10,0.70,0.30,3.37,38.79,1.00,2.64,1.00,3.51,0.07,-0.86,15.40
16,15,3.00,0.10,0.70,0.30,3.73,37.95,1.06,2.64,0.93,3.55,0.08,-0.90,15.57
17,15,3.00,0.10,0.70,0.30,4.09,37.10,1.13,2.64,0.88,3.59,0.09,-0.94,15.67
18,15,3.00,0.10,0.70,0.30,4.45,36.26,1.20,2.64,0.83,3.62,0.10,-0.97,15.58
19,15,3.00,0.10,0.70,0.30,4.81,35.42,1.26,2.64,0.78,3.65,0.11,-1.00,15.45
20,15,3.00,0.10,0.70,0.30,5.18,34.57,1.33,2.64,0.75,3.68,0.13,-1.03,15.28
11,16,3.00,0.10,0.70,0.30,1.80,45.78,0.68,2.66,1.45,3.30,0.03,-0.63,14.07
12,16,3.00,0.10,0.70,0.30,2.16,44.93,0.75,2.66,1.33,3.36,0.04,-0.69,14.96
13,16,3.00,0.10,0.70,0.30,2.53,44.09,0.81,2.66,1.23,3.42,0.05,-0.75,15.79
14,16,3.00,0.10,0.70,0.30,2.89,43.25,0.87,2.66,1.14,3.47,0.06,-0.80,16.34
15,16,3.00,0.10,0.70,0.30,3.25,42.40,0.93,2.66,1.06,3.51,0.07,-0.84,16.63
16,16,3.00,0.10,0.70,0.30,3.61,41.56,1.00,2.66,1.00,3.55,0.07,-0.88,16.88
17,16,3.00,0.10,0.70,0.30,3.97,40.72,1.06,2.66,0.94,3.59,0.08,-0.92,17.08
18,16,3.00,0.10,0.70,0.30,4.33,39.87,1.12,2.66,0.88,3.62,0.09,-0.95,17.05
19,16,3.00,0.10,0.70,0.30,4.69,39.03,1.18,2.66,0.84,3.65,0.10,-0.98,16.99
20,16,3.00,0.10,0.70,0.30,5.06,38.19,1.25,2.66,0.80,3.68,0.11,-1.01,16.89
11,17,3.00,0.10,0.70,0.30,1.68,49.39,0.64,2.68,1.54,3.30,0.03,-0.61,14.79
12,17,3.00,0.10,0.70,0.30,2.04,48.55,0.70,2.68,1.41,3.36,0.04,-0.68,15.81
13,17,3.00,0.10,0.70,0.30,2.40,47.71,0.76,2.68,1.30,3.42,0.04,-0.73,16.76
14,17,3.00,0.10,0.70,0.30,2.77,46.86,0.82,2.68,1.21,3.47,0.05,-0.78,17.41
15,17,3.00,0.10,0.70,0.30,3.13,46.02,0.88,2.68,1.13,3.51,0.06,-0.83,17.79
16,17,3.00,0.10,0.70,0.30,3.49,45.18,0.94,2.68,1.06,3.55,0.07,-0.87,18.13
17,17,3.00,0.10,0.70,0.30,3.85,44.33,1.00,2.68,1.00,3.59,0.07,-0.90,18.41
18,17,3.00,0.10,0.70,0.30,4.21,43.49,1.05,2.68,0.94,3.62,0.08,-0.93,18.46
19,17,3.00,0.10,0.70,0.30,4.57,42.65,1.11,2.68,0.89,3.65,0.09,-0.96,18.46
20,17,3.00,0.10,0.70,0.30,4.93,41.80,1.17,2.68,0.85,3.68,0.10,-0.99,18.43
11,18,3.00,0.10,0.70,0.30,1.56,53.01,0.61,2.70,1.63,3.30,0.02,-0.60,15.43
12,18,3.00,0.10,0.70,0.30,1.92,52.16,0.66,2.70,1.50,3.36,0.03,-0.66,16.57
13,18,3.00,0.10,0.70,0.30,2.28,51.32,0.72,2.70,1.38,3.42,0.04,-0.72,17.65
14,18,3.00,0.10,0.70,0.30,2.65,50.48,0.77,2.70,1.28,3.47,0.04,-0.77,18.41
15,18,3.00,0.10,0.70,0.30,3.01,49.63,0.83,2.70,1.20,3.51,0.05,-0.81,18.88
16,18,3.00,0.10,0.70,0.30,3.37,48.79,0.88,2.70,1.12,3.55,0.06,-0.85,19.30
17,18,3.00,0.10,0.70,0.30,3.73,47.95,0.94,2.70,1.05,3.59,0.07,-0.89,19.67
18,18,3.00,0.10,0.70,0.30,4.09,47.10,1.00,2.70,1.00,3.62,0.07,-0.92,19.78
19,18,3.00,0.10,0.70,0.30,4.45,46.26,1.05,2.70,0.94,3.65,0.08,-0.95,19.85
20,18,3.00,0.10,0.70,0.30,4.81,45.42,1.11,2.70,0.90,3.68,0.09,-0.98,19.89
11,19,3.00,0.10,0.70,0.30,1.44,56.62,0.57,2.71,1.72,3.30,0.02,-0.58,16.27
12,19,3.00,0.10,0.70,0.30,1.80,55.78,0.63,2.71,1.58,3.36,0.03,-0.65,17.54
13,19,3.00,0.10,0.70,0.30,2.16,54.93,0.68,2.71,1.46,3.42,0.03,-0.70,18.73
14,19,3.00,0.10,0.70,0.30,2.53,54.09,0.73,2.71,1.35,3.47,0.04,-0.75,19.59
15,19,3.00,0.10,0.70,0.30,2.89,53.25,0.78,2.71,1.26,3.51,0.05,-0.80,20.14
16,19,3.00,0.10,0.70,0.30,3.25,52.40,0.84,2.71,1.18,3.55,0.05,-0.84,20.64
17,19,3.00,0.10,0.70,0.30,3.61,51.56,0.89,2.71,1.11,3.59,0.06,-0.87,21.09
18,19,3.00,0.10,0.70,0.30,3.97,50.72,0.94,2.71,1.05,3.62,0.07,-0.90,21.27
19,19,3.00,0.10,0.70,0.30,4.33,49.87,1.00,2.71,1.00,3.65,0.07,-0.93,21.40
20,19,3.00,0.10,0.70,0.30,4.69,49.03,1.05,2.71,0.95,3.68,0.08,-0.96,21.50
11,20,3.00,0.10,0.70,0.30,1.32,60.24,0.55,2.72,1.81,3.30,0.02,-0.57,17.08
12,20,3.00,0.10,0.70,0.30,1.68,59.39,0.60,2.72,1.66,3.36,0.02,-0.63,18.46
13,20,3.00,0.10,0.70,0.30,2.04,58.55,0.65,2.72,1.53,3.42,0.03,-0.69,19.77
14,20,3.00,0.10,0.70,0.30,2.40,57.71,0.70,2.72,1.42,3.47,0.03,-0.74,20.74
15,20,3.00,0.10,0.70,0.30,2.77,56.86,0.75,2.72,1.33,3.51,0.04,-0.78,21.36
16,20,3.00,0.10,0.70,0.30,3.13,56.02,0.80,2.72,1.25,3.55,0.05,-0.82,21.94
17,20,3.00,0.10,0.70,0.30,3.49,55.18,0.85,2.72,1.17,3.59,0.05,-0.86,22.48
18,20,3.00,0.10,0.70,0.30,3.85,54.33,0.90,2.72,1.11,3.62,0.06,-0.89,22.71
19,20,3.00,0.10,0.70,0.30,4.21,53.49,0.95,2.72,1.05,3.65,0.07,-0.92,22.91
20,20,3.00,0.10,0.70,0.30,4.57,52.65,1.00,2.72,1.00,3.68,0.07,-0.95,23.07
12,11,1.50,0.30,0.70,0.30,1.25,30.41,1.09,1.00,0.91,1.95,0.03,-0.95,13.85
13,11,1.50,0.30,0.70,0.30,2.50,27.50,1.18,1.00,0.84,1.96,0.08,-0.96,12.00
14,11,1.50,0.30,0.70,0.30,3.75,24.58,1.27,1.00,0.78,1.98,0.13,-0.98,10.20
15,11,1.50,0.30,0.70,0.30,5.00,21.66,1.36,1.00,0.73,1.99,0.18,-0.99,8.24
16,11,1.50,0.30,0.70,0.30,6.25,18.75,1.45,1.00,0.68,2.00,0.25,-1.00,6.25
17,11,1.50,0.30,0.70,0.30,7.50,15.83,1.54,1.00,0.64,2.00,0.32,-1.00,4.16
13,12,1.50,0.30,0.70,0.30,1.25,33.75,1.08,1.00,0.92,1.96,0.03,-0.96,15.60
14,12,1.50,0.30,0.70,0.30,2.50,30.83,1.16,1.00,0.85,1.98,0.07,-0.98,13.88
15,12,1.50,0.30,0.70,0.30,3.75,27.91,1.25,1.00,0.80,1.99,0.11,-0.99,11.95
16,12,1.50,0.30,0.70,0.30,5.00,25.00,1.33,1.00,0.75,2.00,0.16,-1.00,10.00
17,12,1.50,0.30,0.70,0.30,6.25,22.08,1.41,1.00,0.70,2.00,0.22,-1.00,7.91
18,12,1.50,0.30,0.70,0.30,7.50,19.16,1.50,1.00,0.66,2.01,0.28,-1.01,5.88
14,13,1.50,0.30,0.70,0.30,1.25,37.08,1.07,1.00,0.92,1.98,0.03,-0.98,17.55
15,13,1.50,0.30,0.70,0.30,2.50,34.16,1.15,1.00,0.86,1.99,0.06,-0.99,15.67
16,13,1.50,0.30,0.70,0.30,3.75,31.25,1.23,1.00,0.81,2.00,0.10,-1.00,13.75
17,13,1.50,0.30,0.70,0.30,5.00,28.33,1.30,1.00,0.76,2.00,0.15,-1.00,11.66
18,13,1.50,0.30,0.70,0.30,6.25,25.41,1.38,1.00,0.72,2.01,0.19,-1.01,9.67
19,13,1.50,0.30,0.70,0.30,7.50,22.50,1.46,1.00,0.68,2.02,0.25,-1.02,7.65
20,13,1.50,0.30,0.70,0.30,8.75,19.58,1.53,1.00,0.65,2.02,0.30,-1.02,5.52
15,14,1.50,0.30,0.70,0.30,1.25,40.41,1.07,1.00,0.93,1.99,0.03,-0.99,19.38
16,14,1.50,0.30,0.70,0.30,2.50,37.50,1.14,1.00,0.87,2.00,0.06,-1.00,17.50
17,14,1.50,0.30,0.70,0.30,3.75,34.58,1.21,1.00,0.82,2.00,0.09,-1.00,15.41
18,14,1.50,0.30,0.70,0.30,5.00,31.66,1.28,1.00,0.77,2.01,0.13,-1.01,13.46
19,14,1.50,0.30,0.70,0.30,6.25,28.75,1.35,1.00,0.73,2.02,0.17,-1.02,11.47
20,14,1.50,0.30,0.70,0.30,7.50,25.83,1.42,1.00,0.70,2.02,0.22,-1.02,9.34
16,15,1.50,0.30,0.70,0.30,1.25,43.75,1.06,1.00,0.93,2.00,0.02,-1.00,21.25
17,15,1.50,0.30,0.70,0.30,2.50,40.83,1.13,1.00,0.88,2.00,0.05,-1.00,19.16
18,15,1.50,0.30,0.70,0.30,3.75,37.91,1.20,1.00,0.83,2.01,0.09,-1.01,17.25
19,15,1.50,0.30,0.70,0.30,5.00,35.00,1.26,1.00,0.78,2.02,0.12,-1.02,15.30
20,15,1.50,0.30,0.70,0.30,6.25,32.08,1.33,1.00,0.75,2.02,0.16,-1.02,13.17
17,16,1.50,0.30,0.70,0.30,1.25,47.08,1.06,1.00,0.94,2.00,0.02,-1.00,22.91
18,16,1.50,0.30,0.70,0.30,2.50,44.16,1.12,1.00,0.88,2.01,0.05,-1.01,21.03
19,16,1.50,0.30,0.70,0.30,3.75,41.25,1.18,1.00,0.84,2.02,0.08,-1.02,19.12
20,16,1.50,0.30,0.70,0.30,5.00,38.33,1.25,1.00,0.80,2.02,0.11,-1.02,16.99
18,17,1.50,0.30,0.70,0.30,1.25,50.41,1.05,1.00,0.94,2.01,0.02,-1.01,24.82
19,17,1.50,0.30,0.70,0.30,2.50,47.50,1.11,1.00,0.89,2.02,0.05,-1.02,22.95
20,17,1.50,0.30,0.70,0.30,3.75,44.58,1.17,1.00,0.85,2.02,0.07,-1.02,20.82
19,18,1.50,0.30,0.70,0.30,1.25,53.75,1.05,1.00,0.94,2.02,0.02,-1.02,26.77
20,18,1.50,0.30,0.70,0.30,2.50,50.83,1.11,1.00,0.90,2.02,0.04,-1.02,24.64
20,19,1.50,0.30,0.70,0.30,1.25,57.08,1.05,1.00,0.95,2.02,0.02,-1.02,28.47
13,11,2.00,0.30,0.70,0.30,1.53,29.74,1.18,1.00,0.84,2.50,0.04,-1.50,21.15
14,11,2.00,0.30,0.70,0.30,2.30,27.94,1.27,1.00,0.78,2.52,0.07,-1.52,19.48
15,11,2.00,0.30,0.70,0.30,3.07,26.15,1.36,1.00,0.73,2.54,0.10,-1.54,17.77
16,11,2.00,0.30,0.70,0.30,3.84,24.35,1.45,1.00,0.68,2.56,0.13,-1.56,15.99
17,11,2.00,0.30,0.70,0.30,4.61,22.56,1.54,1.00,0.64,2.57,0.16,-1.57,14.09
18,11,2.00,0.30,0.70,0.30,5.38,20.76,1.63,1.00,0.61,2.58,0.20,-1.58,12.15
19,11,2.00,0.30,0.70,0.30,6.15,18.97,1.72,1.00,0.57,2.60,0.24,-1.60,10.25
20,11,2.00,0.30,0.70,0.30,6.92,17.17,1.81,1.00,0.55,2.61,0.28,-1.61,8.25
14,12,2.00,0.30,0.70,0.30,1.53,33.07,1.16,1.00,0.85,2.52,0.04,-1.52,23.97
15,12,2.00,0.30,0.70,0.30,2.30,31.28,1.25,1.00,0.80,2.54,0.06,-1.54,22.31
16,12,2.00,0.30,0.70,0.30,3.07,29.48,1.33,1.00,0.75,2.56,0.09,-1.56,20.59
17,12,2.00,0.30,0.70,0.30,3.84,27.69,1.41,1.00,0.70,2.57,0.12,-1.57,18.72
18,12,2.00,0.30,0.70,0.30,4.61,25.89,1.50,1.00,0.66,2.58,0.15,-1.58,16.81
19,12,2.00,0.30,0.70,0.30,5.38,24.10,1.58,1.00,0.63,2.60,0.18,-1.60,14.97
20,12,2.00,0.30,0.70,0.30,6.15,22.30,1.66,1.00,0.60,2.61,0.21,-1.61,13.00
15,13,2.00,0.30,0.70,0.30,1.53,36.41,1.15,1.00,0.86,2.54,0.04,-1.54,26.85
16,13,2.00,0.30,0.70,0.30,2.30,34.61,1.23,1.00,0.81,2.56,0.06,-1.56,25.20
17,13,2.00,0.30,0.70,0.30,3.07,32.82,1.30,1.00,0.76,2.57,0.08,-1.57,23.35
18,13,2.00,0.30,0.70,0.30,3.84,31.02,1.38,1.00,0.72,2.58,0.11,-1.58,21.47
19,13,2.00,0.30,0.70,0.30,4.61,29.23,1.46,1.00,0.68,2.60,0.13,-1.60,19.69
20,13,2.00,0.30,0.70,0.30,5.38,27.43,1.53,1.00,0.65,2.61,0.16,-1.61,17.75
16,14,2.00,0.30,0.70,0.30,1.53,39.74,1.14,1.00,0.87,2.56,0.03,-1.56,29.80
17,14,2.00,0.30,0.70,0.30,2.30,37.94,1.21,1.00,0.82,2.57,0.05,-1.57,27.97
18,14,2.00,0.30,0.70,0.30,3.07,36.15,1.28,1.00,0.77,2.58,0.07,-1.58,26.13
19,14,2.00,0.30,0.70,0.30,3.84,34.35,1.35,1.00,0.73,2.60,0.10,-1.60,24.40
20,14,2.00,0.30,0.70,0.30,4.61,32.56,1.42,1.00,0.70,2.61,0.12,-1.61,22.49
17,15,2.00,0.30,0.70,0.30,1.53,43.07,1.13,1.00,0.88,2.57,0.03,-1.57,32.60
18,15,2.00,0.30,0.70,0.30,2.30,41.28,1.20,1.00,0.83,2.58,0.05,-1.58,30.79
19,15,2.00,0.30,0.70,0.30,3.07,39.48,1.26,1.00,0.78,2.60,0.07,-1.60,29.12
20,15,2.00,0.30,0.70,0.30,3.84,37.69,1.33,1.00,0.75,2.61,0.09,-1.61,27.24
18,16,2.00,0.30,0.70,0.30,1.53,46.41,1.12,1.00,0.88,2.58,0.03,-1.58,35.45
19,16,2.00,0.30,0.70,0.30,2.30,44.61,1.18,1.00,0.84,2.60,0.04,-1.60,33.84
20,16,2.00,0.30,0.70,0.30,3.07,42.82,1.25,1.00,0.80,2.61,0.06,-1.61,31.99
19,17,2.00,0.30,0.70,0.30,1.53,49.74,1.11,1.00,0.89,2.60,0.02,-1.60,38.56
20,17,2.00,0.30,0.70,0.30,2.30,47.94,1.17,1.00,0.85,2.61,0.04,-1.61,36.74
20,18,2.00,0.30,0.70,0.30,1.53,53.07,1.11,1.00,0.90,2.61,0.02,-1.61,41.48
13,11,2.50,0.30,0.70,0.30,1.11,30.74,1.18,1.00,0.84,2.98,0.03,-1.98,29.33
14,11,2.50,0.30,0.70,0.30,1.66,29.44,1.27,1.00,0.78,3.01,0.05,-2.01,27.91
15,11,2.50,0.30,0.70,0.30,2.22,28.14,1.36,1.00,0.73,3.04,0.07,-2.04,26.43
16,11,2.50,0.30,0.70,0.30,2.77,26.85,1.45,1.00,0.68,3.07,0.09,-2.07,24.92
17,11,2.50,0.30,0.70,0.30,3.33,25.55,1.54,1.00,0.64,3.10,0.11,-2.10,23.33
18,11,2.50,0.30,0.70,0.30,3.88,24.25,1.63,1.00,0.61,3.12,0.13,-2.12,21.59
19,11,2.50,0.30,0.70,0.30,4.44,22.96,1.72,1.00,0.57,3.14,0.16,-2.14,19.81
20,11,2.50,0.30,0.70,0.30,5.00,21.66,1.81,1.00,0.55,3.16,0.18,-2.16,17.99
14,12,2.50,0.30,0.70,0.30,1.11,34.07,1.16,1.00,0.85,3.01,0.03,-2.01,33.12
15,12,2.50,0.30,0.70,0.30,1.66,32.77,1.25,1.00,0.80,3.04,0.04,-2.04,31.73
16,12,2.50,0.30,0.70,0.30,2.22,31.48,1.33,1.00,0.75,3.07,0.06,-2.07,30.28
17,12,2.50,0.30,0.70,0.30,2.77,30.18,1.41,1.00,0.70,3.10,0.08,-2.10,28.78
18,12,2.50,0.30,0.70,0.30,3.33,28.88,1.50,1.00,0.66,3.12,0.10,-2.12,27.08
19,12,2.50,0.30,0.70,0.30,3.88,27.59,1.58,1.00,0.63,3.14,0.12,-2.14,25.36
20,12,2.50,0.30,0.70,0.30,4.44,26.29,1.66,1.00,0.60,3.16,0.14,-2.16,23.59
15,13,2.50,0.30,0.70,0.30,1.11,37.40,1.15,1.00,0.86,3.04,0.02,-2.04,37.01
16,13,2.50,0.30,0.70,0.30,1.66,36.11,1.23,1.00,0.81,3.07,0.04,-2.07,35.65
17,13,2.50,0.30,0.70,0.30,2.22,34.81,1.30,1.00,0.76,3.10,0.05,-2.10,34.21
18,13,2.50,0.30,0.70,0.30,2.77,33.51,1.38,1.00,0.72,3.12,0.07,-2.12,32.58
19,13,2.50,0.30,0.70,0.30,3.33,32.22,1.46,1.00,0.68,3.14,0.09,-2.14,30.91
20,13,2.50,0.30,0.70,0.30,3.88,30.92,1.53,1.00,0.65,3.16,0.11,-2.16,29.20
16,14,2.50,0.30,0.70,0.30,1.11,40.74,1.14,1.00,0.87,3.07,0.02,-2.07,41.01
17,14,2.50,0.30,0.70,0.30,1.66,39.44,1.21,1.00,0.82,3.10,0.04,-2.10,39.66
18,14,2.50,0.30,0.70,0.30,2.22,38.14,1.28,1.00,0.77,3.12,0.05,-2.12,38.07
19,14,2.50,0.30,0.70,0.30,2.77,36.85,1.35,1.00,0.73,3.14,0.06,-2.14,36.46
20,14,2.50,0.30,0.70,0.30,3.33,35.55,1.42,1.00,0.70,3.16,0.08,-2.16,34.79
17,15,2.50,0.30,0.70,0.30,1.11,44.07,1.13,1.00,0.88,3.10,0.02,-2.10,45.10
18,15,2.50,0.30,0.70,0.30,1.66,42.77,1.20,1.00,0.83,3.12,0.03,-2.12,43.57
19,15,2.50,0.30,0.70,0.30,2.22,41.48,1.26,1.00,0.78,3.14,0.05,-2.14,42.00
20,15,2.50,0.30,0.70,0.30,2.77,40.18,1.33,1.00,0.75,3.16,0.06,-2.16,40.40
18,16,2.50,0.30,0.70,0.30,1.11,47.40,1.12,1.00,0.88,3.12,0.02,-2.12,49.06
19,16,2.50,0.30,0.70,0.30,1.66,46.11,1.18,1.00,0.84,3.14,0.03,-2.14,47.56
20,16,2.50,0.30,0.70,0.30,2.22,44.81,1.25,1.00,0.80,3.16,0.04,-2.16,45.99
19,17,2.50,0.30,0.70,0.30,1.11,50.74,1.11,1.00,0.89,3.14,0.02,-2.14,53.10
20,17,2.50,0.30,0.70,0.30,1.66,49.44,1.17,1.00,0.85,3.16,0.03,-2.16,51.60
20,18,2.50,0.30,0.70,0.30,1.11,54.07,1.11,1.00,0.90,3.16,0.02,-2.16,57.19
14,11,3.00,0.30,0.70,0.30,1.30,30.28,1.27,1.00,0.78,3.47,0.04,-2.47,35.79
15,11,3.00,0.30,0.70,0.30,1.73,29.27,1.36,1.00,0.73,3.51,0.05,-2.51,34.56
16,11,3.00,0.30,0.70,0.30,2.17,28.26,1.45,1.00,0.68,3.55,0.07,-2.55,33.26
17,11,3.00,0.30,0.70,0.30,2.60,27.24,1.54,1.00,0.64,3.59,0.08,-2.59,31.90
18,11,3.00,0.30,0.70,0.30,3.04,26.23,1.63,1.00,0.61,3.62,0.10,-2.62,30.37
19,11,3.00,0.30,0.70,0.30,3.47,25.21,1.72,1.00,0.57,3.65,0.12,-2.65,28.80
20,11,3.00,0.30,0.70,0.30,3.91,24.20,1.81,1.00,0.55,3.68,0.13,-2.68,27.18
15,12,3.00,0.30,0.70,0.30,1.30,33.62,1.25,1.00,0.80,3.51,0.03,-2.51,40.56
16,12,3.00,0.30,0.70,0.30,1.73,32.60,1.33,1.00,0.75,3.55,0.05,-2.55,39.35
17,12,3.00,0.30,0.70,0.30,2.17,31.59,1.41,1.00,0.70,3.59,0.06,-2.59,38.09
18,12,3.00,0.30,0.70,0.30,2.60,30.57,1.50,1.00,0.66,3.62,0.07,-2.62,36.64
19,12,3.00,0.30,0.70,0.30,3.04,29.56,1.58,1.00,0.63,3.65,0.09,-2.65,35.13
20,12,3.00,0.30,0.70,0.30,3.47,28.55,1.66,1.00,0.60,3.68,0.10,-2.68,33.60
16,13,3.00,0.30,0.70,0.30,1.30,36.95,1.23,1.00,0.81,3.55,0.03,-2.55,45.45
17,13,3.00,0.30,0.70,0.30,1.73,35.94,1.30,1.00,0.76,3.59,0.04,-2.59,44.30
18,13,3.00,0.30,0.70,0.30,2.17,34.92,1.38,1.00,0.72,3.62,0.05,-2.62,42.90
19,13,3.00,0.30,0.70,0.30,2.60,33.91,1.46,1.00,0.68,3.65,0.07,-2.65,41.48
20,13,3.00,0.30,0.70,0.30,3.04,32.89,1.53,1.00,0.65,3.68,0.08,-2.68,39.99
17,14,3.00,0.30,0.70,0.30,1.30,40.28,1.21,1.00,0.82,3.59,0.03,-2.59,50.47
18,14,3.00,0.30,0.70,0.30,1.73,39.27,1.28,1.00,0.77,3.62,0.04,-2.62,49.17
19,14,3.00,0.30,0.70,0.30,2.17,38.26,1.35,1.00,0.73,3.65,0.05,-2.65,47.81
